Report Dated: 22 Jul 2025  Values in ₹ Crore ,,,,,,,,,
S.No.,HSCode,Commodity,2017 - 2018,%Share,2018 - 2019,%Share,%Growth,,
57,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,728.87,0.0243,851.72,0.0237,16.86,,
,,,,,,,,,
58,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TR...,"1,297.28",0.0432,"1,461.65",0.0407,12.67,,
,,,,,,,,,
59,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ...","5,549.18",0.1849,"6,109.52",0.1700,10.10,,
,,,,,,,,,
60,60,KNITTED OR CROCHETED FABRICS.,"3,817.10",0.1272,"3,957.98",0.1101,3.69,,
,,,,,,,,,
61,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","2,244.57",0.0748,"3,260.22",0.0907,45.25,,
,,,,,,,,,
62,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHE...","2,737.61",0.0912,"4,510.25",0.1255,64.75,,
,,,,,,,,,
63,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTIL...,"2,970.35",0.0990,"3,515.67",0.0978,18.36,,
,,,,,,,,,
64,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","4,428.43",0.1476,"5,239.55",0.1458,18.32,,
,,,,,,,,,
65,65,HEADGEAR AND PARTS THEREOF.,145.62,0.0049,195.28,0.0054,34.10,,
,,,,,,,,,
66,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING...",226.66,0.0076,261.71,0.0073,15.46,,
,,,,,,,,,
67,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN...,111.75,0.0037,178.69,0.0050,59.90,,
,,,,,,,,,
68,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATER...","5,369.08",0.1789,"7,040.88",0.1959,31.14,,
,,,,,,,,,
69,69,CERAMIC PRODUCTS.,"3,872.21",0.1290,"4,185.31",0.1164,8.09,,
,,,,,,,,,
70,70,GLASS AND GLASSWARE.,"8,024.74",0.2674,"9,473.22",0.2635,18.05,,
,,,,,,,,,
71,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.META...","481,705.03",16.0513,"451,505.08",12.5604,-6.27,,
,,,,,,,,,
72,72,IRON AND STEEL,"67,235.42",2.2404,"87,988.96",2.4478,30.87,,
,,,,,,,,,
73,73,ARTICLES OF IRON OR STEEL,"27,100.08",0.9030,"35,657.85",0.9920,31.58,,
,,,,,,,,,
74,74,COPPER AND ARTICLES THEREOF.,"29,058.24",0.9683,"36,872.62",1.0258,26.89,,
,,,,,,,,,
75,75,NICKEL AND ARTICLES THEREOF.,"4,077.90",0.1359,"5,168.08",0.1438,26.73,,
,,,,,,,,,
76,76,ALUMINIUM AND ARTICLES THEREOF.,"29,154.66",0.9715,"38,166.26",1.0617,30.91,,
,,,,,,,,,
77,78,LEAD AND ARTICLES THEREOF.,"5,250.38",0.1750,"5,475.49",0.1523,4.29,,
,,,,,,,,,
78,79,ZINC AND ARTICLES THEREOF.,"5,332.43",0.1777,"5,646.30",0.1571,5.89,,
,,,,,,,,,
79,80,TIN AND ARTICLES THEREOF.,"1,577.55",0.0526,"1,578.07",0.0439,0.03,,
,,,,,,,,,
80,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,"2,564.28",0.0854,"3,435.60",0.0956,33.98,,
,,,,,,,,,
81,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS T...","6,780.74",0.2259,"8,324.62",0.2316,22.77,,
,,,,,,,,,
82,83,MISCELLANEOUS ARTICLES OF BASE METAL.,"5,780.61",0.1926,"6,910.40",0.1922,19.54,,
,,,,,,,,,
83,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PAR...","243,815.93",8.1244,"306,368.42",8.5228,25.66,,
,,,,,,,,,
84,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDE...,"311,102.56",10.3665,"364,151.85",10.1303,17.05,,
,,,,,,,,,
85,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RA...","2,737.83",0.0912,"4,921.52",0.1369,79.76,,
,,,,,,,,,
86,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND...","37,673.87",1.2554,"43,032.50",1.1971,14.22,,
,,,,,,,,,
87,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","49,481.19",1.6488,"53,531.00",1.4892,8.18,,
,,,,,,,,,
88,89,"SHIPS, BOATS AND FLOATING STRUCTURES.","30,878.70",1.0289,"40,793.07",1.1348,32.11,,
,,,,,,,,,
89,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION...","56,212.32",1.8731,"67,351.63",1.8737,19.82,,
,,,,,,,,,
90,91,CLOCKS AND WATCHES AND PARTS THEREOF.,"2,145.05",0.0715,"2,664.62",0.0741,24.22,,
,,,,,,,,,
91,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,327.72,0.0109,407.64,0.0113,24.39,,
,,,,,,,,,
92,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,228.38,0.0076,457.15,0.0127,100.17,,
,,,,,,,,,
93,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIM...","12,086.42",0.4027,"12,561.50",0.3494,3.93,,
,,,,,,,,,
94,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","3,857.87",0.1286,"4,519.49",0.1257,17.15,,
,,,,,,,,,
95,96,MISCELLANEOUS MANUFACTURED ARTICLES.,"3,599.57",0.1199,"4,536.68",0.1262,26.03,,
,,,,,,,,,
96,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,"1,499.32",0.0500,666.27,0.0185,-55.56,,
,,,,,,,,,
97,98,PROJECT GOODS; SOME SPECIAL USES.,"13,507.07",0.4501,"16,859.93",0.4690,24.82,,
,,,,,,,,,
98,99,MISCELLANEOUS GOODS.,98.87,0.0033,350.90,0.0098,254.92,,
,,,,,,,,,
India's Total Import,,,"3,001,033.43",,"3,594,674.61",,19.78 ,,
