HSCode,Commodity,Ex_INR,%Share,Year
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;","43,924.01",1.1865,202425
91,CLOCKS AND WATCHES AND PARTS THEREOF.,612.57,0.0165,202425
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,390.83,0.0106,202425
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,"4,796.63",0.1296,202425
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC","21,633.93",0.5844,202425
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","4,820.39",0.1302,202425
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"6,198.25",0.1674,202425
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,"1,354.59",0.0366,202425
98,PROJECT GOODS; SOME SPECIAL USES.,140.70,0.0038,202425
99,MISCELLANEOUS GOODS.,3.67,0.0001,202425
