HSCode,Commodity,Im_INR,%Share,Year
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION...","67,351.63",1.8737,201819
91,CLOCKS AND WATCHES AND PARTS THEREOF.,"2,664.62",0.0741,201819
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,407.64,0.0113,201819
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,457.15,0.0127,201819
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIM...","12,561.50",0.3494,201819
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","4,519.49",0.1257,201819
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"4,536.68",0.1262,201819
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,666.27,0.0185,201819
98,PROJECT GOODS; SOME SPECIAL USES.,"16,859.93",0.4690,201819
99,MISCELLANEOUS GOODS.,350.90,0.0098,201819
